validation_id,model_id,runtime_secs,CRPS_fold_0_test,CRPS_fold_1_test,CRPS_fold_2_test,CRPS_fold_3_test,CRPS_fold_4_test,CRPS_fold_5_test,CRPS_fold_6_test,CRPS_fold_7_test,CRPS_fold_8_test,CRPS_fold_9_test,CRPS_fold_10_test,CRPS_fold_11_test,CRPS_mean,CRPS_std,PinballLoss_fold_0_test,PinballLoss_fold_1_test,PinballLoss_fold_2_test,PinballLoss_fold_3_test,PinballLoss_fold_4_test,PinballLoss_fold_5_test,PinballLoss_fold_6_test,PinballLoss_fold_7_test,PinballLoss_fold_8_test,PinballLoss_fold_9_test,PinballLoss_fold_10_test,PinballLoss_fold_11_test,PinballLoss_mean,PinballLoss_std,EmpiricalCoverage_fold_0_test,EmpiricalCoverage_fold_1_test,EmpiricalCoverage_fold_2_test,EmpiricalCoverage_fold_3_test,EmpiricalCoverage_fold_4_test,EmpiricalCoverage_fold_5_test,EmpiricalCoverage_fold_6_test,EmpiricalCoverage_fold_7_test,EmpiricalCoverage_fold_8_test,EmpiricalCoverage_fold_9_test,EmpiricalCoverage_fold_10_test,EmpiricalCoverage_fold_11_test,EmpiricalCoverage_mean,EmpiricalCoverage_std,AUCalibration_fold_0_test,AUCalibration_fold_1_test,AUCalibration_fold_2_test,AUCalibration_fold_3_test,AUCalibration_fold_4_test,AUCalibration_fold_5_test,AUCalibration_fold_6_test,AUCalibration_fold_7_test,AUCalibration_fold_8_test,AUCalibration_fold_9_test,AUCalibration_fold_10_test,AUCalibration_fold_11_test,AUCalibration_mean,AUCalibration_std,IntervalWidth_fold_0_test,IntervalWidth_fold_1_test,IntervalWidth_fold_2_test,IntervalWidth_fold_3_test,IntervalWidth_fold_4_test,IntervalWidth_fold_5_test,IntervalWidth_fold_6_test,IntervalWidth_fold_7_test,IntervalWidth_fold_8_test,IntervalWidth_fold_9_test,IntervalWidth_fold_10_test,IntervalWidth_fold_11_test,IntervalWidth_mean,IntervalWidth_std
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_BaggingForecaster_BlockDistributionBootstrap,2268.077026128769,539.3998520733886,103.75283612362166,80.5556615177678,214.3531758238364,170.2005316453619,95.79720975780252,457.9902472491226,975.2403060353988,85.92108987803171,752.8197310626043,314.11913017397086,131.67225493059848,326.81850218929213,295.658246939024,186.1742124496363,25.235090358475375,16.990486696233692,58.41370864701073,26.46201367835135,23.041453464146272,133.89243682614517,376.07418343471505,20.431382321759244,254.19321947121733,89.82455575363463,26.15061920509341,103.07361352553488,115.160958599468,0.125,0.8541666666666666,1.0,0.75,0.9375,0.9375,0.2916666666666667,0.125,0.8333333333333334,0.2708333333333333,0.4375,0.7708333333333334,0.611111111111111,0.3354964535883656,0.4782986111111111,0.3211805555555555,0.4305555555555555,0.1675347222222222,0.4861111111111111,0.4644097222222221,0.3715277777777778,0.3828125,0.4375,0.3315972222222222,0.265625,0.3793402777777778,0.3763744212962963,0.0943192726695875,746.4831630723006,881.681727674829,679.6194678493473,969.5239339602836,995.9588834472188,898.8973845884775,772.5560827078821,914.7191846421032,545.8003738273105,637.2700308416623,580.0925974796695,723.6474665580326,778.8541913874266,152.19059670236535
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_BaggingForecaster_BlockResidualBootstrap,2151.1750259399414,460.5003316950519,92.92589152139416,78.35487680579348,203.814670151164,170.7159284222947,76.31514623215402,501.9386754494128,971.120236803112,87.91702659578073,757.3454065544305,306.4556931608225,149.57484590345817,321.41489410790575,294.84346328114964,145.80262556012983,26.324014823643875,14.167898627913509,53.58692977892233,28.12242328905216,20.34523912286552,153.4268850944485,357.55063020651625,25.354308233788416,333.8237079141782,69.16125578609777,43.6270653278389,105.9410819804496,121.24215598888188,0.1875,0.7916666666666666,0.9166666666666666,0.7708333333333334,0.7708333333333334,0.9791666666666666,0.2916666666666667,0.1666666666666666,0.7708333333333334,0.125,0.5833333333333334,0.6666666666666666,0.5850694444444444,0.3088113531102189,0.4539930555555556,0.265625,0.4262152777777777,0.1727430555555555,0.4861111111111111,0.4644097222222222,0.3715277777777778,0.3767361111111111,0.3854166666666667,0.3211805555555556,0.2699652777777777,0.4331597222222221,0.3689236111111111,0.0948996279506466,772.2605596300873,731.5336312354575,513.2458812388081,922.0490202207552,676.2359351535723,788.7569723297703,794.560940814691,867.8636714685917,389.2496179432164,302.76487239371545,808.0631150334442,491.3979598581498,671.4985147766882,199.0357025738524
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_BaggingForecaster_BlockStatisticPreservingBootstrap,827.1273329257965,469.6174942998646,90.446998791618,101.81287877204473,228.79115453647097,191.80523125724957,70.45735075828317,572.2371635868759,1049.2524638112225,115.34619638863268,792.2522698219909,364.04714560356575,227.28769852164132,356.1128371791217,311.14660195270994,194.20235938624063,25.172711664880783,26.90559529755297,61.148945929995065,59.00693587040743,16.514150688422603,227.66919631356495,453.96951632194754,32.16789647547132,356.19039991149344,140.9603654038727,81.908656618253,139.65139415684186,143.00112247525254,0.0,0.7291666666666666,0.8125,0.7083333333333334,0.4791666666666667,0.7708333333333334,0.1875,0.1041666666666666,0.6875,0.1041666666666666,0.2916666666666667,0.4791666666666667,0.4461805555555556,0.2973550190686544,0.2717013888888889,0.2578125,0.4453125,0.2491319444444444,0.4913194444444444,0.4435763888888888,0.3940972222222222,0.2239583333333333,0.4305555555555556,0.3515625,0.2664930555555555,0.4201388888888889,0.3538049768518518,0.0947041402000787,293.68341298436957,344.4065394781348,686.3849683114959,594.3869890914344,327.9246706426464,297.026771689248,347.03383236154895,428.4480728891719,261.22967794244164,187.6568113924892,296.4646753005086,234.25896480028936,358.24211557364816,146.23187783506688
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_BaggingForecaster_MovingBlockBootstrap,808.9746458530426,399.16309569410623,96.5717163224948,78.53408737005333,217.27999952227756,159.75042551523578,75.70824264948101,604.9113165163224,1087.0537337527594,99.36934579049876,823.6792067909452,396.1259452595943,244.3989511400798,356.8788388603207,327.17929178398936,132.6402597180582,29.199888832949433,14.3584383272635,60.832388947162215,37.80961081751812,35.469280321640774,240.96197437705632,509.5114236510665,28.164806378721508,378.4778248602285,126.89019949917716,98.18118042877455,141.04143967996808,157.76050646761797,0.125,0.6666666666666666,0.75,0.7708333333333334,0.5833333333333334,1.0,0.2083333333333333,0.0416666666666666,0.5625,0.0833333333333333,0.3333333333333333,0.2916666666666667,0.4513888888888889,0.3128575395724707,0.3394097222222222,0.2387152777777777,0.4045138888888888,0.25,0.4878472222222221,0.4097222222222221,0.3802083333333333,0.3051215277777778,0.3758680555555556,0.3276909722222222,0.2673611111111111,0.4375,0.3519965277777778,0.0777921941258161,418.515112818329,311.75299827445946,335.51503517078737,561.9651149606295,442.7877525061992,1418.7712128656306,385.58977094536266,329.3808764210812,220.8294792530793,260.3256416485645,546.404289004195,243.28925855094965,456.2605452016057,322.35809139520023
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_ConformalIntervals_conformal,1973.6647980213163,430.2906618336641,242.1302873261653,246.71946825631656,384.3548531947881,401.682345207844,278.8995347207379,378.8899605223378,675.9822449889442,429.55520352922434,490.12616605927315,372.8474263339118,374.4426060007483,392.1600631644963,116.97286083465076,93.80381019088895,90.32670370126463,100.76901832668948,133.47206852987694,128.65038142693192,99.87238696149208,102.06235191293035,110.95252025832994,148.44335906932974,106.7245995103745,86.03494042132162,119.79381842220532,110.0754965609696,18.970354069078613,1.0,1.0,1.0,0.9791666666666666,1.0,0.9791666666666666,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,0.9895833333333334,0.0243280920050476,0.4800347222222222,0.2621527777777777,0.3784722222222222,0.2178819444444444,0.4322916666666667,0.2803819444444445,0.3663194444444444,0.4166666666666667,0.3506944444444445,0.3211805555555556,0.2916666666666667,0.3489583333333333,0.3455584490740741,0.0758104989335078,3752.1524076355568,3613.068148050585,4030.760733067578,5337.205921003321,5146.015257077274,3967.5311393287134,4082.4940765172128,4204.52478238533,5937.734362773187,4268.983980414978,3441.397616852863,4791.752736888211,4381.135096832902,761.9448654213804
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_ConformalIntervals_conformal_bonferroni,1388.6206681728363,1051.3655145144123,870.6998874594043,938.1080194956086,1125.1382854946166,1162.2395302071402,1127.419240354335,785.0671230780096,1020.438145531022,1207.073532109653,1046.576483279726,794.174037267186,806.807228954165,994.5922523121068,151.47877009196264,147.27461829542565,127.37200416623016,137.81250351484923,164.4446847282724,168.59373103703012,165.8250867729185,109.00404648006686,132.60744958717362,177.07299568995467,144.61958247296127,111.42374764881906,116.7849505775674,141.90295008093906,23.39868535889755,1.0,1.0,1.0,0.9791666666666666,1.0,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,0.9930555555555556,0.018492195095804,0.4496527777777777,0.2482638888888888,0.3732638888888889,0.212673611111111,0.4348958333333333,0.2638888888888889,0.3585069444444444,0.3888888888888889,0.3498263888888889,0.3237847222222222,0.3046875,0.3680555555555556,0.339699074074074,0.0724135758018779,5890.984731817024,5094.880166649204,5512.5001405939665,6562.917537182929,6743.7492414812,6633.003470916738,4360.161859202672,5150.105920538768,7082.9198275981835,5784.783298918447,4456.94990595276,4671.398023102694,5662.029510329549,941.2484782193028
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_ConformalIntervals_empirical,1791.9780690670011,397.52223730092345,234.4274028073659,251.72664886760404,262.7351320401537,330.66577799888853,291.8287445052113,349.04813240489085,701.5754940324281,297.62502381746435,494.7782867178277,317.468613469467,256.12700662450123,348.7940417155605,132.73658348583407,91.95697459330486,79.22675878922526,77.00777286841114,102.72298138608816,108.62692378774668,106.9524446422154,97.88700626843811,117.45202020663636,145.24410395183125,101.60935740940988,70.54915062265945,73.75842414640144,97.74949322269735,21.339011294904175,0.7083333333333334,1.0,0.9375,0.9791666666666666,1.0,0.9791666666666666,0.8958333333333334,0.7916666666666666,1.0,1.0,1.0,1.0,0.9409722222222222,0.0964298518611655,0.4444444444444444,0.2491319444444444,0.3880208333333333,0.2230902777777777,0.4479166666666667,0.3029513888888889,0.3611111111111111,0.4140625,0.3524305555555556,0.3046875,0.2977430555555556,0.3541666666666667,0.3449797453703704,0.072097994756262,2761.1570186572676,3169.070351569009,3066.840550134098,4093.422287625547,4345.076951509865,4269.207089651923,3395.879205241466,3242.74360850694,5809.764158073248,4064.374296376393,2821.966024906378,2950.3369658560573,3665.819875675683,887.4616845068286
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_ConformalIntervals_empirical_residual,1483.6324880123138,409.1378216594171,153.9808362742368,155.17652839486473,235.63936793721277,314.06740077412513,211.89442557215472,321.2915979325967,696.469702253974,159.49525673975972,469.5157123139445,313.3713031649557,223.1333518486049,305.2644420721539,159.0262102122032,204.03233785036863,22.991189901234293,11.145100536271938,41.701539065425614,73.7340218754954,18.209542337400887,147.16654046146962,368.90052326059384,25.512586023969263,255.20745600940245,113.97986192565791,48.31092432055206,110.90763529732014,113.23184205640796,0.0625,0.6041666666666666,0.8541666666666666,0.7083333333333334,0.1666666666666666,0.9375,0.1666666666666666,0.0833333333333333,0.6875,0.1666666666666666,0.3125,0.6041666666666666,0.4461805555555556,0.3184977875883177,0.4817708333333333,0.2517361111111111,0.3819444444444445,0.2109375,0.3454861111111111,0.3107638888888889,0.359375,0.4236111111111111,0.3446180555555556,0.3072916666666667,0.3003472222222222,0.3628472222222221,0.3400607638888888,0.0724521536629532,388.9372590298755,374.8035710633765,396.5101783927693,560.9048531781749,676.1691482529124,684.448628867483,436.8916283146066,570.377725935055,499.4256859599971,473.9831616433906,608.8069653429569,521.3936880269506,516.0543745006289,107.154143414991
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoARIMA_Fallback,292.651828289032,475.068317261913,320.2004986970456,337.89673701815195,441.39644064980695,439.22534788774686,407.81774215109454,430.77524847771934,681.4705844691076,414.64342085624054,524.9566089575997,420.0014496098934,421.8180862736446,442.93920685916373,92.4050416910007,122.05673079349717,110.25281462705824,117.12946736146836,146.45573002058228,136.5802457070896,141.9196628758189,122.12310189535356,121.77310346081052,143.82896332144605,126.69830903959804,122.98539609395304,140.39034536672773,129.34948921361695,11.904243807645624,1.0,1.0,1.0,1.0,1.0,0.9791666666666666,1.0,0.9375,1.0,1.0,1.0,1.0,0.9930555555555556,0.018492195095804,0.4852430555555555,0.2517361111111111,0.3776041666666667,0.21875,0.4288194444444445,0.2986111111111111,0.3654513888888889,0.4114583333333333,0.3446180555555555,0.3185763888888889,0.3020833333333333,0.3680555555555555,0.347583912037037,0.0753009671862288,4882.269231739884,4410.112585082328,4685.178694458733,5858.22920082329,5463.209828283582,5669.954687135311,4884.9240758141395,4838.716983749268,5753.158532857839,5067.932361583918,4919.415843758118,5615.6138146691055,5170.726319996294,477.46697738977326
[dataset=australian_electricity_demand_dataset_t1]_[cv_splitter=SlidingWindowSplitter],StatsForecastAutoTheta_BaggingForecaster_BlockDistributionBootstrap,35.546265840530396,475.0699913334561,198.06019782834315,191.2087778900933,330.12856401707785,296.3651436212905,323.5561948494321,1351.0919029761285,1581.2559052204572,247.37068893503707,1935.9790375643963,1031.2518682920938,287.7150224613558,687.4211079157634,618.9213173780004,93.90049156501892,38.452391466043586,53.46667993937299,100.05529127967677,52.33415312292058,69.75471218641961,282.9898917038796,436.2000940983259,54.48167730261829,793.4741262987151,315.9931951829398,51.18477578125229,195.19062332726529,229.4207111951071,0.4583333333333333,0.9583333333333334,0.9375,0.7291666666666666,1.0,0.9583333333333334,0.1666666666666666,0.1875,1.0,0.0208333333333333,0.2708333333333333,0.9583333333333334,0.6371527777777777,0.3862433122452851,0.5,0.3142361111111111,0.4592013888888888,0.1223958333333333,0.4939236111111111,0.4644097222222222,0.3463541666666667,0.4088541666666667,0.3793402777777778,0.3307291666666667,0.2300347222222222,0.3567708333333333,0.3671875,0.1115645586748534,1580.2745064518724,1513.4850894484362,2118.5781061328016,2234.029530614615,2093.3661249168217,2774.1954583531865,1835.888747996961,2709.376520200942,2179.26709210473,1133.9020801881911,1522.6309378201452,2030.8222257785208,1977.1513683339351,488.4827192025181
